failure_label,retriever,strategy,recall@10,mrr,answer_f1,reward,num_records
semantic_mismatch,bm25,keyword,0.0,0.0,1.0,0.4714285714285714,1
semantic_mismatch,bm25,llm,0.0,0.0,1.0,0.41428571428571426,1
semantic_mismatch,bm25,original,0.0,0.0,1.0,0.5,1
semantic_mismatch,bm25,structured,0.0,0.0,1.0,0.41428571428571426,1
semantic_mismatch,dense,expanded,0.0,0.0,0.0,-0.14,1
semantic_mismatch,dense,keyword,0.0,0.0,0.0,-0.02857142857142858,1
semantic_mismatch,dense,llm,0.0,0.0,0.0,-0.08571428571428573,1
semantic_mismatch,dense,original,0.0,0.0,0.0,0.0,1
semantic_mismatch,dense,structured,0.0,0.0,0.0,-0.08571428571428573,1
semantic_mismatch,hybrid,expanded,0.0,0.0,1.0,0.36,1
semantic_mismatch,hybrid,keyword,0.0,0.0,1.0,0.4714285714285714,1
semantic_mismatch,hybrid,llm,0.0,0.0,1.0,0.41428571428571426,1
semantic_mismatch,hybrid,original,0.0,0.0,1.0,0.5,1
semantic_mismatch,hybrid,structured,0.0,0.0,0.0,-0.08571428571428573,1
