count,eval_split,num_records,policy_name,rate,retriever,selected_strategy
19,train,700,retriever_tuned_bandit_policy,0.027142857142857142,hybrid,original
1,train,700,retriever_tuned_bandit_policy,0.0014285714285714286,hybrid,structured
168,train,700,reward_ranker_policy,0.24,hybrid,expanded
117,train,700,reward_ranker_policy,0.16714285714285715,hybrid,keyword
268,train,700,reward_ranker_policy,0.38285714285714284,hybrid,llm
147,train,700,reward_ranker_policy,0.21,hybrid,original
35,train,700,reward_selected,0.05,hybrid,expanded
84,train,700,reward_selected,0.12,hybrid,keyword
80,train,700,reward_selected,0.11428571428571428,hybrid,llm
456,train,700,reward_selected,0.6514285714285715,hybrid,original
45,train,700,reward_selected,0.06428571428571428,hybrid,structured
296,train,700,state_recovery_bandit_policy,0.4228571428571429,hybrid,expanded
80,train,700,state_recovery_bandit_policy,0.11428571428571428,hybrid,keyword
304,train,700,state_recovery_bandit_policy,0.4342857142857143,hybrid,llm
19,train,700,state_recovery_bandit_policy,0.027142857142857142,hybrid,original
1,train,700,state_recovery_bandit_policy,0.0014285714285714286,hybrid,structured
575,train,700,thompson_sampling,0.8214285714285714,hybrid,keyword
120,train,700,thompson_sampling,0.17142857142857143,hybrid,llm
5,train,700,thompson_sampling,0.007142857142857143,hybrid,structured
700,train,700,ucb_bandit,1.0,hybrid,llm
