eval_split,harm_count,harm_rate,mean_recall10_delta,mean_reward_delta,num_records,policy_name,recovery_count,recovery_rate,retriever,rewrite_rate
test,9,0.03,0.06333333333333334,0.017385232066661982,300,retriever_tuned_bandit_policy,28,0.09333333333333334,hybrid,0.9733333333333334
test,8,0.02666666666666667,0.03666666666666667,0.013102649354427393,300,reward_ranker_policy,19,0.06333333333333334,hybrid,0.81
test,0,0.0,0.16666666666666666,0.2526644040225845,300,reward_selected,50,0.16666666666666666,hybrid,0.31
test,10,0.03333333333333333,0.06,0.0146026923841223,300,state_recovery_bandit_policy,28,0.09333333333333334,hybrid,0.9733333333333334
test,11,0.03666666666666667,0.016666666666666666,-0.03150881824896992,300,thompson_sampling,16,0.05333333333333334,hybrid,1.0
test,14,0.04666666666666667,0.04,-0.006576849452190214,300,ucb_bandit,26,0.08666666666666667,hybrid,1.0
train,67,0.09571428571428571,-0.09,-0.28469300356758354,700,always_expanded,4,0.005714285714285714,bm25,1.0
train,36,0.05142857142857143,-0.037142857142857144,-0.10400380166108346,700,always_keyword,10,0.014285714285714285,bm25,1.0
train,29,0.041428571428571426,0.045714285714285714,0.0018975188444159015,700,always_llm,61,0.08714285714285715,bm25,1.0
train,50,0.07142857142857142,-0.03857142857142857,-0.14910665831428485,700,always_structured,23,0.032857142857142856,bm25,1.0
train,14,0.02,0.04857142857142857,0.03475387444765891,700,calibrated_recovery_policy,48,0.06857142857142857,bm25,0.5285714285714286
train,13,0.018571428571428572,0.06,0.04491760239387844,700,conservative_linucb_policy,55,0.07857142857142857,bm25,0.6457142857142857
train,28,0.04,0.05142857142857143,0.009668553884968498,700,contextual_bandit,64,0.09142857142857143,bm25,0.9914285714285714
train,30,0.04285714285714286,0.03571428571428571,-0.014755016945498432,700,epsilon_greedy_bandit,55,0.07857142857142857,bm25,0.97
train,48,0.06857142857142857,-0.05714285714285714,-0.14996399944056577,700,failure_type_policy,8,0.011428571428571429,bm25,0.9414285714285714
train,23,0.032857142857142856,0.04285714285714286,0.007684187190925842,700,label_retriever_policy,53,0.07571428571428572,bm25,0.8485714285714285
train,0,0.0,0.11428571428571428,0.1839392148082231,700,oracle_best_strategy,80,0.11428571428571428,bm25,0.2257142857142857
train,0,0.0,0.0,0.0,700,original_only,0,0.0,bm25,0.0
train,31,0.04428571428571428,-0.02,-0.10313229023775142,700,random_policy,17,0.024285714285714285,bm25,0.8
train,26,0.037142857142857144,0.045714285714285714,0.010299904300645207,700,recovery_ranker_policy,58,0.08285714285714285,bm25,0.8957142857142857
